Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2003-12-29;11.9467;12.7898;11.9467;12.6062;261069.78322426
2003-12-30;12.7898;13.6855;12.7898;13.6855;269027.71406469
2003-12-31;13.8761;14.2966;13.2648;13.3561;319670.12741249
2004-01-02;13.1674;13.4053;12.6976;13.4053;132812.49059336
2004-01-05;13.1674;13.2648;12.6976;13.1674;189496.23523889
2004-01-06;12.9356;13.4484;12.838;13.1674;159837.34130523
2004-01-07;13.1674;13.4484;13.1191;13.2148;91475.207883409
2004-01-08;13.2148;13.3561;12.9786;12.9786;141779.3977825
2004-01-09;12.8863;12.9356;12.6062;12.7898;157343.37042077
2004-01-12;12.6976;12.838;12.6062;12.6976;69484.989719569
2004-01-13;12.7458;12.8863;12.6976;12.6976;67332.658682301
2004-01-14;12.7458;12.7458;12.5563;12.5563;46654.337531653
2004-01-15;12.4657;12.4657;12.1794;12.3674;76423.695015906
2004-01-16;12.2762;12.2762;12.0865;12.0865;93675.368499284
2004-01-19;11.9467;12.2762;11.9467;12.1794;43929.190350603
2004-01-20;12.1365;12.5563;12.1365;12.5563;46567.788770365
2004-01-21;12.6062;12.6494;12.4657;12.5088;22664.387462286
2004-01-22;12.6062;12.6976;12.5088;12.6976;42022.840003308
2004-01-23;12.6976;12.8863;12.6062;12.7458;76269.957084673
2004-01-26;12.6976;13.0278;12.5563;12.9786;131834.26183092
2004-01-27;12.9786;12.9786;12.838;12.9356;50096.928391791
2004-01-28;12.8863;12.8863;12.5088;12.6494;97137.318950764
2004-01-29;12.4657;12.6062;12.3674;12.5563;66923.829665169
2004-01-30;12.6494;12.6976;12.5088;12.6494;14316.987196053
2004-02-02;12.5563;12.9786;12.5563;12.9356;70640.871202546
2004-02-03;12.7458;12.9786;12.6976;12.6976;19094.251059198
2004-02-04;12.6976;12.838;12.6494;12.7898;19940.379080727
2004-02-05;12.7458;12.838;12.6976;12.838;21255.692492391
2004-02-06;12.9356;13.2648;12.8863;13.1674;202240.5403384
2004-02-09;13.2148;13.4053;13.2148;13.3561;103290.25259858
2004-02-10;13.4966;13.4966;13.1674;13.2648;79655.607970282
2004-02-11;13.2148;13.3087;13.076;13.2148;28362.940113341
2004-02-12;13.1674;13.2648;13.1191;13.2648;20890.137855903
2004-02-13;13.2148;13.2648;13.1191;13.1191;28114.681824386
2004-02-16;13.1674;13.2148;13.0278;13.2148;24776.860517384
2004-02-17;13.2648;13.3087;13.1674;13.3087;57496.84748183
2004-02-18;13.3087;13.3561;13.076;13.2648;31260.046017474
2004-02-19;13.1674;13.2648;13.076;13.1674;26995.241925108
2004-02-20;13.076;13.1674;12.9786;13.1674;10930.197510955
2004-02-23;13.1674;13.2148;13.0278;13.1674;29381.026857953
2004-02-24;13.1674;13.1674;12.9356;12.9786;20238.74454727
2004-02-25;12.9356;13.0278;12.7898;12.838;14182.608856161
2004-02-26;12.838;13.1191;12.838;13.076;15070.872458844
2004-02-27;13.1191;13.2148;12.9786;13.2148;71439.16964547
2004-03-01;13.1674;13.4484;13.1191;13.4053;103317.58378635
2004-03-02;13.4053;13.4966;13.2648;13.3087;29084.938990393
2004-03-03;13.4053;13.5449;13.2148;13.4484;33300.774704662
2004-03-04;13.4484;13.4966;13.4053;13.4484;31908.022927635
2004-03-05;13.4484;13.4484;13.2648;13.3561;48786.17017809
2004-03-08;13.3561;13.3561;12.9356;13.2148;75041.192434296
2004-03-09;13.2648;13.4053;13.2648;13.3087;67291.661900638
2004-03-10;13.3087;13.4966;13.3087;13.4053;28883.371480553
2004-03-11;13.3087;13.3561;13.076;13.2148;64569.93111806
2004-03-12;13.1674;13.4053;13.1674;13.4053;86347.193777154
2004-03-15;13.4053;13.4484;13.2148;13.2148;35965.565512709
2004-03-16;13.1191;13.3087;13.1191;13.1674;23798.631754942
2004-03-17;13.4053;13.8761;13.2148;13.8761;93047.889979954
2004-03-18;14.107;14.7217;13.9656;14.063;275152.17772525
2004-03-19;14.1536;14.2036;13.3087;13.6354;86224.203432168
2004-03-22;13.4484;13.826;13.4053;13.7338;39277.194431427
2004-03-23;13.7338;14.0139;13.7338;13.9656;20771.702708879
2004-03-24;14.107;14.3441;13.8761;14.2036;48573.214673344
2004-03-25;14.3441;14.3441;13.9656;14.1536;9868.8363856985
2004-03-26;14.107;14.4845;14.107;14.2528;37760.313509923
2004-03-29;14.2966;14.7217;14.2966;14.7217;48818.056563827
2004-03-30;14.8138;15.0026;14.6251;14.9535;56681.467046547
